danceability,mode,valence,tempo,acousticness,loudness,energy,type,speechiness,id,duration_ms,liveness,key,instrumentalness,time_signature
0.828,0,0.605,147.044,0.441,-7.403,0.902,audio_features,0.2,6UGkpZUshokRYSUuLeb2wT,234667,0.117,10,0.0034,4
0.832,1,0.88,124.984,0.13,-5.055,0.775,audio_features,0.039,2lU9QAmib9bOMYcynAywm6,256707,0.121,9,0.00431,4
0.83,1,0.862,113.053,0.649,-9.874,0.656,audio_features,0.102,15S79IQP09Olj9iMyg8u8m,287937,0.279,6,1.37e-05,4
0.829,0,0.72,119.993,0.0604,-8.031,0.701,audio_features,0.0451,3U1lRa56VJbOFqfWI2PTrj,322147,0.349,0,0.0155,4
0.697,0,0.586,101.021,0.52,-5.02,0.756,audio_features,0.089,6E2MIXNryG2WcVb9sh1I8L,273770,0.123,9,9.18e-06,4
0.875,1,0.726,76.984,0.00745,-17.863,0.218,audio_features,0.126,5XJBYtJWgfwk18RTamYnCZ,290194,0.0991,10,7.14e-06,4
0.657,1,0.614,77.0,0.172,-7.176,0.61,audio_features,0.0645,7yPeu0DTn2eWgO2FmHCks0,404107,0.32,7,7.18e-05,4
0.735,0,0.606,139.986,0.0505,-7.043,0.671,audio_features,0.0386,2SIQgKcQP0ztLtV6APZ9y8,285040,0.0707,0,0.000935,4
0.757,1,0.899,125.024,0.0706,-8.382,0.724,audio_features,0.0337,4aIKdnn8WMoKjsQ6gdNM84,283716,0.131,0,0.000176,4
0.775,1,0.855,120.011,0.0906,-6.745,0.908,audio_features,0.0489,25shgGzsEnpDzJUinSLIBx,264699,0.0482,11,5.97e-05,4
0.814,1,0.617,99.976,0.323,-4.981,0.75,audio_features,0.0818,4qlt4KNC6TJcbBnZqnHsQW,331573,0.374,11,4.6e-06,4
0.748,0,0.588,96.982,0.241,-6.89,0.55,audio_features,0.0361,2Ej4vdkwwBDyE6QfFWaXUF,260000,0.144,0,0,4
0.811,1,0.876,119.973,0.113,-2.719,0.962,audio_features,0.0484,2kFaEZJM9coKfesI5LOaPJ,194830,0.4,2,0,4
0.715,0,0.904,127.993,0.559,-5.656,0.935,audio_features,0.0384,55lcV76gPJUqAnHj3Z9xRd,263440,0.138,8,0.00344,4
0.727,1,0.7,95.014,0.572,-7.008,0.605,audio_features,0.0348,4IoL5eSdPTk44UjQf0fk4m,294947,0.117,1,0.000411,4
0.781,0,0.808,140.062,0.61,-5.018,0.931,audio_features,0.336,4uq3InGtC8JKJQBIVTXnAr,267214,0.0991,1,8.07e-06,4
0.795,1,0.791,164.956,0.337,-3.844,0.925,audio_features,0.267,4OmbwFpYB41rQZZUGGtFZZ,225034,0.0291,2,1.12e-06,3
0.806,0,0.939,122.992,0.264,-5.219,0.736,audio_features,0.0525,6SUMPX87AaMzVe3bydjT6b,214634,0.118,5,0.00788,4
0.661,0,0.577,164.033,0.604,-4.556,0.655,audio_features,0.0939,3geKpJNdURFqbA8OqaR7vr,302480,0.0881,2,1.88e-05,4
0.809,0,0.624,100.994,0.333,-7.084,0.698,audio_features,0.1,0Y61GxhLwaCYDJ2ojA7tZv,274031,0.253,4,0.017,4
0.837,0,0.864,113.011,0.0829,-3.522,0.885,audio_features,0.0682,6KPbUKOkLLmorqSGuDao7k,261609,0.0802,9,0.000825,4
0.679,0,0.652,90.99,0.648,-8.476,0.659,audio_features,0.0456,7t2f17dqm0XBmN40FyyBMI,282093,0.0853,3,0.0834,4
0.746,0,0.856,165.929,0.11,-6.641,0.649,audio_features,0.286,0zcuKrize0rRw3lLWYSyjK,241998,0.072,2,2.03e-06,4
0.655,0,0.716,79.981,0.277,-4.207,0.951,audio_features,0.312,4eE8jvNGHg7NXYFPt6REdW,260676,0.107,11,0.00897,4
0.827,1,0.879,146.01,0.493,-7.995,0.842,audio_features,0.236,2AdjREVHdOoPXDzUHcbe4g,270987,0.0263,0,1.31e-06,4
0.904,1,0.777,105.018,0.167,-6.19,0.863,audio_features,0.0683,4H6oskZ2jgfZyR79iozJLO,279986,0.0729,7,2.03e-05,4
0.819,0,0.861,136.969,0.17,-7.693,0.91,audio_features,0.0539,555d0iaIa173KumnrfnTXV,253484,0.322,10,0.00356,4
0.84,0,0.951,110.055,0.274,-3.059,0.897,audio_features,0.0868,4zBY5xA8BjDhVVqSDMrOXm,273681,0.104,5,3.83e-05,4
0.512,1,0.713,81.053,0.294,-7.785,0.675,audio_features,0.395,3zugWFrbjpOdzKN9feQAUv,324013,0.0641,2,0,3
0.625,0,0.889,79.445,0.672,-3.372,0.797,audio_features,0.444,3SV6DPnu0v1Oj5TGYkIR63,315766,0.204,4,4.41e-05,4
0.729,1,0.642,140.026,0.365,-7.544,0.789,audio_features,0.25,7eyl9pJqvtm3RwKe1odx8Q,263421,0.13,0,0,4
0.809,0,0.292,106.953,0.165,-4.345,0.945,audio_features,0.189,4YI0KYP59ohWbEnM4owHcI,418194,0.0898,2,2.49e-06,4
0.843,1,0.963,77.001,0.495,-6.509,0.946,audio_features,0.11,7fp2ebX6fx7GN7yaj5I3cy,102752,0.0661,2,0.12,4
0.777,1,0.579,129.926,0.427,-10.874,0.412,audio_features,0.0406,4QNSMIeCknaH5m0EM2yNTI,223173,0.0668,0,0,4
0.872,0,0.748,98.964,0.189,-5.855,0.619,audio_features,0.043,5QhuUsTvD2TjhyltgcheuQ,186660,0.144,2,0.000238,4
0.793,1,0.574,119.032,0.0714,-6.639,0.824,audio_features,0.12,0awxA4QYpvwvo4BQD2ouY6,197893,0.0615,2,0,4
0.684,1,0.725,170.091,0.161,-3.268,0.91,audio_features,0.133,35OoRmRvzNS6DjAtEgpiMd,280778,0.193,8,0.000537,4
0.721,0,0.931,103.007,0.0585,-4.057,0.917,audio_features,0.0804,0DK618gx6TimQA3giaOLaY,329080,0.255,9,0.257,4
0.825,0,0.756,119.99,0.495,-7.479,0.57,audio_features,0.0392,7IMonQFX03IByH0b9300du,263344,0.169,0,0.323,4
0.729,1,0.43,102.043,0.0561,-5.709,0.768,audio_features,0.0545,1V4hx2szIylOh4rYoPrwlp,209348,0.129,7,1.29e-05,4
0.605,1,0.182,95.103,0.108,-6.769,0.653,audio_features,0.0433,5pkaQ5pS44JGsA8chmUQzk,328080,0.0759,1,1.8e-05,4
0.838,0,0.963,117.963,0.122,-6.125,0.833,audio_features,0.0335,2BouAimbjjSvtbWG0eYw1s,277749,0.0676,1,0,4
0.751,1,0.564,95.047,0.147,-5.644,0.76,audio_features,0.0499,5L6yb0KfkE1pjRbzcyMBo7,220562,0.125,1,0,4
0.7,1,0.641,123.011,0.058,-5.837,0.8,audio_features,0.108,5aNnoQUhzlVO4rRMbDcvlp,298960,0.133,7,0,4
0.54,1,0.582,89.914,0.526,-4.568,0.933,audio_features,0.0726,3FcSJZP9CwEc9XTTZ7cXvB,246311,0.777,7,0,4
0.7,0,0.922,134.992,0.175,-10.245,0.899,audio_features,0.0435,7a8bS8SOMGGENwT94YsQtS,284613,0.199,0,0.00457,4
0.773,0,0.968,74.999,0.394,-7.456,0.788,audio_features,0.051,1rqknHFXhUJml0qdkQrFb0,246047,0.189,0,0.0034,4
0.799,0,0.537,119.994,0.178,-5.615,0.525,audio_features,0.0276,3E8mVTnCMmXJNq6Pbcfkp7,319687,0.19,7,1.94e-05,4
0.746,1,0.62,130.048,0.614,-4.939,0.878,audio_features,0.0494,1soYqSnez9gGQepWQ50Fc1,200507,0.143,5,0.00011,4
0.797,1,0.756,95.134,0.554,-9.074,0.61,audio_features,0.157,2JAsg6txhUsMgRaKbLkCmm,225617,0.175,2,0.000963,4
0.729,0,0.821,129.94,0.398,-8.058,0.572,audio_features,0.0458,0gX4ZFlm7V7iofmAbv4gHr,243010,0.469,4,0,4
0.863,0,0.938,100.012,0.328,-6.901,0.625,audio_features,0.0417,3YB09zhSWO8mmESr8NUV0n,349653,0.0831,9,4.93e-06,4
0.749,1,0.683,80.996,0.0795,-8.108,0.749,audio_features,0.0488,7eFFgsETjYqTKKMCk3Z6VW,349651,0.0569,8,0.499,4
0.798,0,0.871,97.976,0.146,-6.109,0.647,audio_features,0.0279,03ZIeuFii6ghzCLsHxZUL9,278427,0.107,5,2.47e-05,4
0.948,1,0.882,119.999,0.439,-9.643,0.445,audio_features,0.0587,1jaPWaMCgXLdUEEiEaKy6I,234501,0.136,7,0.0001,4
0.658,0,0.392,139.992,0.168,-6.071,0.664,audio_features,0.0371,7Kd2C4NcmMRk0N7M3LRvLS,264000,0.12,0,1.4e-05,4
0.886,1,0.619,119.73,0.0615,-15.943,0.445,audio_features,0.138,5HqRVRrIolAmTHYdn3PcpS,317440,0.108,0,0.00185,4
0.876,0,0.965,127.974,0.0486,-4.962,0.84,audio_features,0.0448,6jR39l9ySueW0mdYVEwJxB,240000,0.0504,9,0.000232,4
0.788,1,0.885,77.5,0.609,-5.349,0.951,audio_features,0.206,0RZmZc05qYYgRI1uSwN3N4,198572,0.0623,7,0.00839,4
0.786,0,0.785,115.042,0.438,-8.284,0.65,audio_features,0.0718,4loHHFKpuqnJ2sa12FCxGf,297154,0.463,5,1.58e-05,4
