track_album_artists_2_type,track_album_release_date_precision,track_album_artists_2_uri,track_album_artists_1_type,track_album_artists_3_type,track_id,track_duration_ms,track_popularity,track_name,track_album_album_type,track_disc_number,added_by_uri,added_by_type,track_album_artists_2_id,track_album_artists_2_name,track_album_release_date,track_album_artists_1_uri,track_artists,track_album_artists_3_id,added_by_id,track_album_artists_1_id,track_album_artists_1_name,track_album_id,track_uri,track_album_name,track_track_number,track_type,added_at,track_album_type,track_album_artists_3_name,track_album_artists_3_uri,track_track,track_album_uri,track_album_total_tracks
,day,,artist,,6UGkpZUshokRYSUuLeb2wT,234666,32,Yuvakula,album,1,spotify:user:him0ne6u68tpnuyl9s05itrka,user,,,2010-09-13,spotify:artist:2FgHPfRprDaylrSRVf1UlN,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2FgHPfRprDaylrSRVf1UlN'}, 'href': 'https://api.spotify.com/v1/artists/2FgHPfRprDaylrSRVf1UlN', 'id': '2FgHPfRprDaylrSRVf1UlN', 'name': 'Thaman S', 'type': 'artist', 'uri': 'spotify:artist:2FgHPfRprDaylrSRVf1UlN'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6Bthsls57GgYPQFdrY3eyw'}, 'href': 'https://api.spotify.com/v1/artists/6Bthsls57GgYPQFdrY3eyw', 'id': '6Bthsls57GgYPQFdrY3eyw', 'name': 'Remo Fernandes', 'type': 'artist', 'uri': 'spotify:artist:6Bthsls57GgYPQFdrY3eyw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7zFlr6Y537SdALqy0Xfvth'}, 'href': 'https://api.spotify.com/v1/artists/7zFlr6Y537SdALqy0Xfvth', 'id': '7zFlr6Y537SdALqy0Xfvth', 'name': 'Ranjith Govind', 'type': 'artist', 'uri': 'spotify:artist:7zFlr6Y537SdALqy0Xfvth'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4g5JAMcwgcqFXgPVtvrW3h'}, 'href': 'https://api.spotify.com/v1/artists/4g5JAMcwgcqFXgPVtvrW3h', 'id': '4g5JAMcwgcqFXgPVtvrW3h', 'name': 'Revathi', 'type': 'artist', 'uri': 'spotify:artist:4g5JAMcwgcqFXgPVtvrW3h'}]",,him0ne6u68tpnuyl9s05itrka,2FgHPfRprDaylrSRVf1UlN,Thaman S,3pvKmAXMLMD8lU5K4jdG6B,spotify:track:6UGkpZUshokRYSUuLeb2wT,Brindaavanam,2,track,2022-10-31T16:33:55Z,album,,,True,spotify:album:3pvKmAXMLMD8lU5K4jdG6B,8
,day,,artist,,2lU9QAmib9bOMYcynAywm6,256706,36,Khiladi Koona,single,1,spotify:user:him0ne6u68tpnuyl9s05itrka,user,,,2007-10-18,spotify:artist:3AMxH9QIPZbK8ND8C9j4Ss,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LSPREIgGMZXCuKVel7LVD'}, 'href': 'https://api.spotify.com/v1/artists/0LSPREIgGMZXCuKVel7LVD', 'id': '0LSPREIgGMZXCuKVel7LVD', 'name': 'Karthik', 'type': 'artist', 'uri': 'spotify:artist:0LSPREIgGMZXCuKVel7LVD'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/27bGntdBHtYYP0QPkKzqzF'}, 'href': 'https://api.spotify.com/v1/artists/27bGntdBHtYYP0QPkKzqzF', 'id': '27bGntdBHtYYP0QPkKzqzF', 'name': 'Rita Thyagarajan', 'type': 'artist', 'uri': 'spotify:artist:27bGntdBHtYYP0QPkKzqzF'}]",,him0ne6u68tpnuyl9s05itrka,3AMxH9QIPZbK8ND8C9j4Ss,Mani Sharma,2gbuMuMQiiZrCLj0vU1KJG,spotify:track:2lU9QAmib9bOMYcynAywm6,Athidhi,4,track,2022-10-31T16:24:03Z,album,,,True,spotify:album:2gbuMuMQiiZrCLj0vU1KJG,6
,day,,artist,,15S79IQP09Olj9iMyg8u8m,287937,42,Champakamala,single,1,spotify:user:him0ne6u68tpnuyl9s05itrka,user,,,2011-07-14,spotify:artist:2FgHPfRprDaylrSRVf1UlN,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4GN0Lj7b9RpYeFBqtIrNui'}, 'href': 'https://api.spotify.com/v1/artists/4GN0Lj7b9RpYeFBqtIrNui', 'id': '4GN0Lj7b9RpYeFBqtIrNui', 'name': 'Karthik, Suchitra', 'type': 'artist', 'uri': 'spotify:artist:4GN0Lj7b9RpYeFBqtIrNui'}]",,him0ne6u68tpnuyl9s05itrka,2FgHPfRprDaylrSRVf1UlN,Thaman S,1Lln5roNgUWZK71JjNNuVE,spotify:track:15S79IQP09Olj9iMyg8u8m,Kandhireega,2,track,2022-10-31T16:21:31Z,album,,,True,spotify:album:1Lln5roNgUWZK71JjNNuVE,5
,day,,artist,,3U1lRa56VJbOFqfWI2PTrj,322146,44,Mandaara Poovalle,single,1,spotify:user:him0ne6u68tpnuyl9s05itrka,user,,,2010-04-10,spotify:artist:6AiX12wXdXFoGJ2vk8zBjy,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6AiX12wXdXFoGJ2vk8zBjy'}, 'href': 'https://api.spotify.com/v1/artists/6AiX12wXdXFoGJ2vk8zBjy', 'id': '6AiX12wXdXFoGJ2vk8zBjy', 'name': 'Yuvan Shankar Raja', 'type': 'artist', 'uri': 'spotify:artist:6AiX12wXdXFoGJ2vk8zBjy'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/61if35zz1W11GejEkxTLEQ'}, 'href': 'https://api.spotify.com/v1/artists/61if35zz1W11GejEkxTLEQ', 'id': '61if35zz1W11GejEkxTLEQ', 'name': 'Benny Dayal', 'type': 'artist', 'uri': 'spotify:artist:61if35zz1W11GejEkxTLEQ'}]",,him0ne6u68tpnuyl9s05itrka,6AiX12wXdXFoGJ2vk8zBjy,Yuvan Shankar Raja,0UKhCWkRL6X4Kwbjz8Pf0q,spotify:track:3U1lRa56VJbOFqfWI2PTrj,Awaara (Original Motion Picture Soundtrack),2,track,2022-10-31T17:37:50Z,album,,,True,spotify:album:0UKhCWkRL6X4Kwbjz8Pf0q,6
,day,,artist,,6E2MIXNryG2WcVb9sh1I8L,273769,55,Gala Gala Paruthunna,single,1,spotify:user:him0ne6u68tpnuyl9s05itrka,user,,,2006-04-08,spotify:artist:3AMxH9QIPZbK8ND8C9j4Ss,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7DX2CLnA9ajgQuNf5jqEXl'}, 'href': 'https://api.spotify.com/v1/artists/7DX2CLnA9ajgQuNf5jqEXl', 'id': '7DX2CLnA9ajgQuNf5jqEXl', 'name': 'Nihal', 'type': 'artist', 'uri': 'spotify:artist:7DX2CLnA9ajgQuNf5jqEXl'}]",,him0ne6u68tpnuyl9s05itrka,3AMxH9QIPZbK8ND8C9j4Ss,Mani Sharma,4CO4EDT6CLK1TC6n4yJNUX,spotify:track:6E2MIXNryG2WcVb9sh1I8L,Pokiri,3,track,2022-10-31T16:28:12Z,album,,,True,spotify:album:4CO4EDT6CLK1TC6n4yJNUX,6
,day,,artist,,5XJBYtJWgfwk18RTamYnCZ,290194,0,Andamaina Premarani,album,1,spotify:user:him0ne6u68tpnuyl9s05itrka,user,,,2014-08-01,spotify:artist:1mYsTxnqsietFxj1OgoGbG,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2ae6PxICSOZHvjqiCcgon8'}, 'href': 'https://api.spotify.com/v1/artists/2ae6PxICSOZHvjqiCcgon8', 'id': '2ae6PxICSOZHvjqiCcgon8', 'name': 'S. P. Balasubrahmanyam', 'type': 'artist', 'uri': 'spotify:artist:2ae6PxICSOZHvjqiCcgon8'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/70B80Lwx2sxti0M1Ng9e8K'}, 'href': 'https://api.spotify.com/v1/artists/70B80Lwx2sxti0M1Ng9e8K', 'id': '70B80Lwx2sxti0M1Ng9e8K', 'name': 'Udit Narayan', 'type': 'artist', 'uri': 'spotify:artist:70B80Lwx2sxti0M1Ng9e8K'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/31zE3XsSq1gHAik8uajDFP'}, 'href': 'https://api.spotify.com/v1/artists/31zE3XsSq1gHAik8uajDFP', 'id': '31zE3XsSq1gHAik8uajDFP', 'name': 'S.P. Pallavi', 'type': 'artist', 'uri': 'spotify:artist:31zE3XsSq1gHAik8uajDFP'}]",,him0ne6u68tpnuyl9s05itrka,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,1fqfENcKu7uIBmYWMTTiNX,spotify:track:5XJBYtJWgfwk18RTamYnCZ,Premikudu,4,track,2022-10-31T17:42:40Z,album,,,True,spotify:album:1fqfENcKu7uIBmYWMTTiNX,9
,day,,artist,,7yPeu0DTn2eWgO2FmHCks0,404106,53,Nelluri Nerajana,single,1,spotify:user:him0ne6u68tpnuyl9s05itrka,user,,,1999-11-09,spotify:artist:1mYsTxnqsietFxj1OgoGbG,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2NoJ7NuNs9nyj8Thoh1kbu'}, 'href': 'https://api.spotify.com/v1/artists/2NoJ7NuNs9nyj8Thoh1kbu', 'id': '2NoJ7NuNs9nyj8Thoh1kbu', 'name': 'Hariharan', 'type': 'artist', 'uri': 'spotify:artist:2NoJ7NuNs9nyj8Thoh1kbu'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0Yb0T3wUUNiIvHjqnfkbuH'}, 'href': 'https://api.spotify.com/v1/artists/0Yb0T3wUUNiIvHjqnfkbuH', 'id': '0Yb0T3wUUNiIvHjqnfkbuH', 'name': 'Mahalakshmi Iyer', 'type': 'artist', 'uri': 'spotify:artist:0Yb0T3wUUNiIvHjqnfkbuH'}]",,him0ne6u68tpnuyl9s05itrka,1mYsTxnqsietFxj1OgoGbG,A.R. Rahman,1WCAy8NWpdJ0NtzBTtxXvu,spotify:track:7yPeu0DTn2eWgO2FmHCks0,Oke Okkadu,1,track,2023-01-02T14:43:41Z,album,,,True,spotify:album:1WCAy8NWpdJ0NtzBTtxXvu,6
,day,,artist,,2SIQgKcQP0ztLtV6APZ9y8,285040,54,Sehari Sehari,single,1,spotify:user:him0ne6u68tpnuyl9s05itrka,user,,,2009-05-22,spotify:artist:6AiX12wXdXFoGJ2vk8zBjy,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6JTjs71TL7qvv1KjObqOLC'}, 'href': 'https://api.spotify.com/v1/artists/6JTjs71TL7qvv1KjObqOLC', 'id': '6JTjs71TL7qvv1KjObqOLC', 'name': 'Thoshi', 'type': 'artist', 'uri': 'spotify:artist:6JTjs71TL7qvv1KjObqOLC'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1FI8Am7UxI2XLUtFs2jPva'}, 'href': 'https://api.spotify.com/v1/artists/1FI8Am7UxI2XLUtFs2jPva', 'id': '1FI8Am7UxI2XLUtFs2jPva', 'name': 'Priya Hemesh', 'type': 'artist', 'uri': 'spotify:artist:1FI8Am7UxI2XLUtFs2jPva'}]",,him0ne6u68tpnuyl9s05itrka,6AiX12wXdXFoGJ2vk8zBjy,Yuvan Shankar Raja,4I7t128bqln9m45RZlMJU8,spotify:track:2SIQgKcQP0ztLtV6APZ9y8,Oye,1,track,2022-10-25T17:27:33Z,album,,,True,spotify:album:4I7t128bqln9m45RZlMJU8,6
,day,,artist,,4aIKdnn8WMoKjsQ6gdNM84,283715,33,Podham,album,1,spotify:user:him0ne6u68tpnuyl9s05itrka,user,,,2016-02-28,spotify:artist:4xlqU0G9EloUPHL1qlmWY6,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1QvyquqkuuwUzdszyoKIy4'}, 'href': 'https://api.spotify.com/v1/artists/1QvyquqkuuwUzdszyoKIy4', 'id': '1QvyquqkuuwUzdszyoKIy4', 'name': 'Haricharan', 'type': 'artist', 'uri': 'spotify:artist:1QvyquqkuuwUzdszyoKIy4'}]",,him0ne6u68tpnuyl9s05itrka,4xlqU0G9EloUPHL1qlmWY6,Gopi Sundar,2deV2K0AahpsATI6qhh0fb,spotify:track:4aIKdnn8WMoKjsQ6gdNM84,Oopiri,5,track,2022-10-25T17:37:09Z,album,,,True,spotify:album:2deV2K0AahpsATI6qhh0fb,7
,day,,artist,,25shgGzsEnpDzJUinSLIBx,264698,30,Hare Hare Rama,single,1,spotify:user:him0ne6u68tpnuyl9s05itrka,user,,,2008-12-25,spotify:artist:7puWXcCM8Li3HnKrxc1bEH,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6eMFGgGDh5iXU1POAK0cpe'}, 'href': 'https://api.spotify.com/v1/artists/6eMFGgGDh5iXU1POAK0cpe', 'id': '6eMFGgGDh5iXU1POAK0cpe', 'name': 'Suraj Jagan', 'type': 'artist', 'uri': 'spotify:artist:6eMFGgGDh5iXU1POAK0cpe'}]",,him0ne6u68tpnuyl9s05itrka,7puWXcCM8Li3HnKrxc1bEH,Chakri,4952Lv2KJx8FCSVO7y7mOb,spotify:track:25shgGzsEnpDzJUinSLIBx,Maskaa,1,track,2022-10-25T17:19:18Z,album,,,True,spotify:album:4952Lv2KJx8FCSVO7y7mOb,6
